Nombre_original,Nombre_corregido,Email_original,Email_limpio,Teléfono_original,Telefono_corregido,Ciudad_original,Ciudad_corregido,Observaciones
María Cano,María Cano,maría.cano@gmail.com,maría.cano@gmail.com,310.104.7213,+57573140392474,barranquilla,Barranquilla,
Roberto Ortega,Roberto Ortega,roberto.ortega@yahoo.com,roberto.ortega@yahoo.com,+57(314)0376611,+57573210778887,ibagué,Ibagué,
Ana Salazar,Ana Salazar,ana.salazar@gmail.com,ana.salazar@gmail.com,3210-244-388,+57573132811016,soacha,Soacha,
Juan Pérez,Juan Pérez,juan.perez@gmail.com,juan.perez@gmail.com,3101234567,+57573101234567,bogotá,Bogotá,
José Rodríguez,José Rodríguez,josé.rodríguez@hotmail.com,josé.rodríguez@hotmail.com,+57 314-630-4382,+57573163033186,pereira,Pereira,
Carlos Gomez,Carlos Gomez,carlosgomezhotmail.com,carlosgomezhotmail.com,57-3209876543,+57573209876543,cali,Cali,
Andrés Santos,Andrés Santos,andrés.santos at company.com,andrés.santos at company.com,3144014143,+57573004663270,pereira,Pereira,
Fernando Mora,Fernando Mora,fernando.mora@gmail.com,fernando.mora@gmail.com,+57 313-975-7743,+57573004294421,pereira,Pereira,
Carlos Herrera,Carlos Herrera,carlos.herrera@hotmail.com,carlos.herrera@hotmail.com,(310)8788243,+57573107435191,cali,Cali,
Ana Herrera,Ana Herrera,ana.herrera@company.com,ana.herrera@company.com,3211-836-072,+57573101971259,soacha,Soacha,
Juan Santos,Juan Santos,juan.santos@gmail.com,juan.santos@gmail.com,57-3165767353,+57573212212593,manizales,Manizales,
Juan Gómez,Juan Gómez,juan.gómez@yahoo.com,juan.gómez@yahoo.com,57-3134419123,+57573145833328,cartagena,Cartagena,
Roberto Rojas,Roberto Rojas,roberto.rojas (at) outlook.com,roberto.rojas (at) outlook.com,320 004 7822,+57573109457645,cartagena,Cartagena,
