Nombre,Email,Teléfono,Ciudad,Observación
María Cano,maría.cano@gmail.com,310.104.7213,Barranquilla,revisar
Roberto Ortega,roberto.ortega@yahoo.com,+57(314)0376611,Ibagué,whatsapp
Ana Salazar,ana.salazar@gmail.com,3210-244-388,Soacha,lead frío
Juan Pérez,juan.perez@gmail.com,3101234567,Bogotá,duplicado original
José Rodríguez,josé.rodríguez@hotmail.com,+57 314-630-4382,Pereira,cliente VIP
Carlos Gomez,carlosgomezhotmail.com,57-3209876543,Cali,sin arroba
Andrés Santos,andrés.santos at company.com,3144014143,Pereira,instagram
Fernando Mora,fernando.mora@gmail.com,+57 313-975-7743,Pereira,
Carlos Herrera,carlos.herrera@hotmail.com,(310)8788243,Cali,instagram
Ana Herrera,ana.herrera@company.com,3211-836-072,Soacha,lead frío
Juan Santos,juan.santos@gmail.com,57-3165767353,Manizales,revisar
Juan Gómez,juan.gómez@yahoo.com,57-3134419123,Cartagena,lead frío
Roberto Rojas,roberto.rojas (at) outlook.com,320 004 7822,Cartagena,whatsapp
Laura Hernández,laurahernández@yahoocom,57-3007249214,Barranquilla,lead frío
Carlos Rojas,carlos.rojas@company.con,+57(316)4126539,Pereira,revisar
Miguel Díaz,miguel.díaz@gmail.com,311.970.8103,Barranquilla,cliente VIP
Carlos González,carlos.gonzález@yahoo.com,311 683 2351,Manizales,cliente VIP
juan pérez,juan.perez @gmail .com,+57 310-123-4567,Bogotá,duplicado mal formato
María López,maria.lopez@gnail.com,(311)9876543,Medellín,typo dominio gnail
José Suárez,josé.suárezcompany.com,321 778 0269,Bogotá,tel equivocado
Miguel Suárez,miguel.suárez@company.com,3139587743,Manizales,tel equivocado
Laura López,LAURA.LÓPEZ@HOTMAIL.COM,(315)2816077,Bucaramanga,lead frío
Carlos Herrera,carlos.herrera@company.com,+57(315)0053145,Bucaramanga,
Laura González,laura.gonzález@outlook.com,(311)9047838,Bucaramanga,no responde
Andrés Ortega,andrés.ortega@gmail.com,3003663352,Pereira,instagram
Laura Mejía,laura.mejía@outlook.com,320 391 7419,Bucaramanga,revisar
Paula Vargas,paula.vargas@company.com,+57 314-411-8835,Barranquilla,
Carlos Mora,carlos.mora@hotmail.com,57-3139907390,Cartagena,revisar
Luis Gómez,luisgómez@yahoocom,300.827.2913,Medellín,lead frío
Paula Rivas,paula.rivas (at) hotmail.com,+57 320-606-7537,Pereira,instagram
Laura Vargas,laura.vargas at yahoo.com,+57(320)6986181,,whatsapp
Roberto Hernández,roberto.hernández@gmail.com,3134-577-736,Soacha,lead frío
Laura Mejía,laura.mejía@hotmial.com,(315)7193057,Cali,revisar
Miguel Mejía,miguel.mejía@hotmail.com,3204193908,Barranquilla,tel equivocado
Andrés Castillo,andrés.castillo@yahoo.con,+57 315-958-6222,Medellín,lead frío
Marta Suárez,marta.suárez@hotmail.com,57-3208479417,Soacha,revisar
Andrés Vargas,andrés.vargas at company.com,320.098.4080,Ibagué,whatsapp
María Cano,maría.cano@hotmail.com,+57 310-297-0165,Cartagena,lead frío
Natalia Martínez,natalia.martínez@hotmail.com,3150-893-964,Bogotá,whatsapp
Natalia González,natalia.gonzález@hotmail.com,+57(315)0239273,Bucaramanga,lead frío
Fernando Hernández,fernando.hernández@gmail.com,321 445 7029,Cartagena,instagram
Luis Ortega,luis.ortegahotmail.com,3008539292,Manizales,instagram
Sofía Herrera,sofía.herrera at hotmail.com,(320)3299270,Bogotá,lead frío
Ana  Martínez,ana.martinez@company.con,301234567,,domain .con & missing city
Diego Castillo,DIEGO.CASTILLO@OUTLOOK.COM,3104569711,Bogotá,revisar
María Castillo,maría.castillo@company.com,3136129082,Barranquilla,tel equivocado
Carlos González,carlos.gonzález@gnail.com,+57 321-606-2823,Ibagué,referido
María Mora,MARÍA.MORA@COMPANY.COM,3132650447,,revisar
María Rodríguez,maría.rodríguez@hotmail.com,+57(315)7995439,Bucaramanga,referido
Camila Rojas,camila.rojas@company.com,(316)6984298,Ibagué,
